month,sentiment
2017-12,5.395918367346939
2018-01,5.482051282051282
2018-02,4.920588235294118
2018-03,4.81687898089172
2018-04,4.862983425414365
2018-05,4.5220228384991845
2018-06,4.6626637554585155
2018-07,4.836795252225519
2018-08,4.700132100396301
2018-09,4.806451612903226
2018-10,4.974128233970753
2018-11,4.696539988655701
2018-12,4.57795172863666
2019-01,4.718933333333333
2019-02,4.693952351863165
2019-03,4.677333333333333
2019-04,4.85352422907489
2019-05,4.701949860724234
2019-06,4.8836937463471655
2019-07,4.953414167198469
2019-08,4.742822966507177
2019-09,4.55119825708061
2019-10,4.850746268656716
2019-11,4.93099787685775
2019-12,4.864473684210527
2020-01,4.8525121555915725
2020-02,4.612562534741523
2020-03,4.284859813084112
2020-04,4.272413793103448
2020-05,4.521922873745377
2020-06,4.4469659595461275
2020-07,4.6620583717357915
2025-04,5.4
2025-07,6.0
