month,sentiment,nasdaq_avg
2017-12-01,5.395918367346939,6889.740454101562
2018-01-01,5.482051282051282,7279.498046875
2018-02-01,4.920588235294118,7161.7726408305925
2018-03-01,4.81687898089172,7311.506696428572
2018-04-01,4.862983425414365,7084.142345610119
2018-05-01,4.5220228384991845,7339.327281605114
2018-06-01,4.662663755458516,7645.138532366072
2018-07-01,4.836795252225519,7756.863862537202
2018-08-01,4.700132100396301,7892.233462126359
2018-09-01,4.806451612903226,7983.307411595395
2018-10-01,4.974128233970753,7527.083899456522
2018-11-01,4.696539988655701,7236.081449962798
2018-12-01,4.57795172863666,6814.2916067023025
2019-01-01,4.718933333333333,6979.655715215774
2019-02-01,4.693952351863165,7430.077354029605
2019-03-01,4.677333333333333,7629.366652715774
2019-04-01,4.85352422907489,7994.9209216889885
2019-05-01,4.701949860724234,7804.820867365057
2019-06-01,4.8836937463471655,7825.459008789063
2019-07-01,4.953414167198469,8205.598677201704
2019-08-01,4.742822966507177,7910.933238636364
2019-09-01,4.55119825708061,8087.699975585938
2019-10-01,4.850746268656716,8079.27829908288
2019-11-01,4.93099787685775,8517.57744140625
2019-12-01,4.864473684210527,8778.59193638393
2020-01-01,4.8525121555915725,9233.35997953869
2020-02-01,4.612562534741523,9418.85002055921
2020-03-01,4.284859813084112,7772.205832741477
2020-04-01,4.272413793103448,8292.407180059523
2020-05-01,4.521922873745377,9105.65546875
2020-06-01,4.446965959546128,9839.971324573864
2020-07-01,4.662058371735792,10499.86270419034
2025-04-01,5.4,16678.45972842262
2025-07-01,6.0,20398.35888671875
